'Row_Id','IdA̱o','IdDepartamento','PIB_percapita'
1,26,29,3830908
2,26,1,9340469
3,26,25,16097955
4,26,2,6388791
5,26,3,13385931
6,26,4,6205737
7,26,5,7211579
8,26,6,6036872
9,26,7,3306217
10,26,26,24123828
11,26,8,3948746
12,26,9,6810781
13,26,12,3060247
14,26,10,3912903
15,26,11,10268544
16,26,30,4134059
17,26,31,4759905
18,26,13,6451275
19,26,14,6503249
20,26,15,3938108
21,26,16,10016793
22,26,17,3422276
23,26,18,3928796
24,26,27,4190375
25,26,19,5378939
26,26,20,6277539
27,26,28,7876466
28,26,21,9951651
29,26,22,3045612
30,26,23,5905371
31,26,24,8233652
32,26,32,3133078
33,26,33,3887315
34,27,29,4169814
35,27,1,10362481
36,27,25,18229413
37,27,2,7194985
38,27,3,14770879
39,27,4,7044660
40,27,5,8046451
41,27,6,6934270
42,27,7,3575615
43,27,26,24864712
44,27,8,4414192
45,27,9,7684507
46,27,12,3314596
47,27,10,4362011
48,27,11,11046444
49,27,30,4655932
50,27,31,5133194
51,27,13,6895658
52,27,14,7204102
53,27,15,4202994
54,27,16,11845232
55,27,17,3926952
56,27,18,4562230
57,27,27,4883522
58,27,19,6350376
59,27,20,7174399
60,27,28,9030802
61,27,21,11318386
62,27,22,3481809
63,27,23,6708554
64,27,24,9364012
65,27,32,3201815
66,27,33,4114080
67,28,29,4486342
68,28,1,11530203
69,28,25,19918687
70,28,2,8299825
71,28,3,16332253
72,28,4,7956639
73,28,5,9523137
74,28,6,7682864
75,28,7,4060678
76,28,26,23554324
77,28,8,4792247
78,28,9,8146177
79,28,12,3497940
80,28,10,5186748
81,28,11,12259261
82,28,30,4553399
83,28,31,5776380
84,28,13,7441987
85,28,14,7342993
86,28,15,4618524
87,28,16,12706662
88,28,17,4236402
89,28,18,5093601
90,28,27,5617663
91,28,19,6908084
92,28,20,7703890
93,28,28,10561225
94,28,21,12762161
95,28,22,3947168
96,28,23,7681132
97,28,24,10568989
98,28,32,3718202
99,28,33,4091512
100,29,29,4807018
101,29,1,12084732
102,29,25,25942969
103,29,2,8858405
104,29,3,17541907
105,29,4,8593127
106,29,5,11059678
107,29,6,8282623
108,29,7,4519574
109,29,26,28528736
110,29,8,5347831
111,29,9,9845957
112,29,12,3822819
113,29,10,5129321
114,29,11,13547103
115,29,30,4854812
116,29,31,6071819
117,29,13,8686536
118,29,14,9388252
119,29,15,5293554
120,29,16,17810571
121,29,17,4462738
122,29,18,5756904
123,29,27,7107722
124,29,19,7449000
125,29,20,8322006
126,29,28,11111392
127,29,21,14545114
128,29,22,4306632
129,29,23,8663629
130,29,24,11278073
131,29,32,3862698
132,29,33,4337204
133,30,29,5202908
134,30,1,12444001
135,30,25,22330062
136,30,2,9317808
137,30,3,18584132
138,30,4,8702860
139,30,5,11433547
140,30,6,8485412
141,30,7,4901195
142,30,26,25845154
143,30,8,5710392
144,30,9,10227409
145,30,12,4690095
146,30,10,5235480
147,30,11,14138511
148,30,30,5076118
149,30,31,6177281
150,30,13,8679324
151,30,14,9608067
152,30,15,5858657
153,30,16,19211130
154,30,17,4755905
155,30,18,6139384
156,30,27,7872365
157,30,19,7790106
158,30,20,8873225
159,30,28,12172643
160,30,21,14433162
161,30,22,4742348
162,30,23,8719595
163,30,24,11991481
164,30,32,4062368
165,30,33,4390230
166,31,29,5591516
167,31,1,13099961
168,31,25,22828949
169,31,2,9481200
170,31,3,19690381
171,31,4,9624569
172,31,5,12422312
173,31,6,8962649
174,31,7,5048397
175,31,26,28892100
176,31,8,6285109
177,31,9,10603692
178,31,12,6317316
179,31,10,5503257
180,31,11,14837916
181,31,30,5337184
182,31,31,6442355
183,31,13,9548625
184,31,14,9587598
185,31,15,6119383
186,31,16,26347264
187,31,17,4908591
188,31,18,6377160
189,31,27,9697261
190,31,19,8274579
191,31,20,9324849
192,31,28,12709984
193,31,21,16392991
194,31,22,4853787
195,31,23,9114316
196,31,24,12538426
197,31,32,4103719
198,31,33,4285404
199,32,29,5969210
200,32,1,14580906
201,32,25,26788968
202,32,2,10288314
203,32,3,21347503
204,32,4,11153868
205,32,5,14744101
206,32,6,9499869
207,32,7,5516404
208,32,26,39124122
209,32,8,6796875
210,32,9,12692156
211,32,12,7769706
212,32,10,5893042
213,32,11,16105151
214,32,30,5423605
215,32,31,6570335
216,32,13,11113741
217,32,14,10937733
218,32,15,6441145
219,32,16,39049594
220,32,17,5418070
221,32,18,6845992
222,32,27,11967934
223,32,19,9183441
224,32,20,9890624
225,32,28,13893782
226,32,21,18726378
227,32,22,5358089
228,32,23,10283555
229,32,24,13461456
230,32,32,4529593
231,32,33,4377994
232,33,29,6370295
233,33,1,15552451
234,33,25,25755945
235,33,2,11421539
236,33,3,22865844
237,33,4,11869745
238,33,5,15572164
239,33,6,9917777
240,33,7,6476778
241,33,26,41847958
242,33,8,7515512
243,33,9,13176012
244,33,12,7400499
245,33,10,6439647
246,33,11,16789186
247,33,30,5889341
248,33,31,7137782
249,33,13,11400169
250,33,14,11229423
251,33,15,6942728
252,33,16,42255903
253,33,17,5887199
254,33,18,7152319
255,33,27,12049913
256,33,19,10067779
257,33,20,10557237
258,33,28,15153469
259,33,21,19764532
260,33,22,5924989
261,33,23,10931945
262,33,24,14347570
263,33,32,4802527
264,33,33,4639459
265,34,29,6803987
266,34,1,16425657
267,34,25,24193091
268,34,2,12434114
269,34,3,24536591
270,34,4,13184807
271,34,5,16401817
272,34,6,10684153
273,34,7,7161524
274,34,26,43845228
275,34,8,8342092
276,34,9,12414299
277,34,12,6282263
278,34,10,6914460
279,34,11,17283141
280,34,30,6342338
281,34,31,7617279
282,34,13,11967750
283,34,14,10625059
284,34,15,7530342
285,34,16,44337343
286,34,17,6365534
287,34,18,7716659
288,34,27,14234562
289,34,19,10457304
290,34,20,11593542
291,34,28,17002295
292,34,21,21093454
293,34,22,6438657
294,34,23,11593794
295,34,24,15262933
296,34,32,5377967
297,34,33,4856888
298,35,29,7465703
299,35,1,17607117
300,35,25,21144781
301,35,2,13681473
302,35,3,26337646
303,35,4,13463342
304,35,5,17552741
305,35,6,11718627
306,35,7,7990249
307,35,26,42843277
308,35,8,9302222
309,35,9,12460838
310,35,12,6291011
311,35,10,7555705
312,35,11,17888991
313,35,30,6550834
314,35,31,8146529
315,35,13,12755711
316,35,14,10629004
317,35,15,7620221
318,35,16,38526731
319,35,17,6863228
320,35,18,8310220
321,35,27,13936142
322,35,19,10917328
323,35,20,12762046
324,35,28,18620820
325,35,21,24482373
326,35,22,7085546
327,35,23,12554593
328,35,24,16490649
329,35,32,5961330
330,35,33,4733848
331,36,29,8186030
332,36,1,18817790
333,36,25,18910019
334,36,2,14921849
335,36,3,28388682
336,36,4,14096587
337,36,5,18575739
338,36,6,12712322
339,36,7,8401448
340,36,26,33571338
341,36,8,10294939
342,36,9,13076198
343,36,12,7011686
344,36,10,7910948
345,36,11,18894518
346,36,30,7098587
347,36,31,8759675
348,36,13,13006651
349,36,14,10790562
350,36,15,8285062
351,36,16,31109367
352,36,17,7602129
353,36,18,8890010
354,36,27,10618802
355,36,19,12119442
356,36,20,13704944
357,36,28,20405878
358,36,21,24796146
359,36,22,7580170
360,36,23,13158216
361,36,24,17755474
362,36,32,6202286
363,36,33,5271600
364,37,29,8952717
365,37,1,20289054
366,37,25,16999992
367,37,2,15893944
368,37,3,30332565
369,37,4,15359019
370,37,5,19726304
371,37,6,13977005
372,37,7,9164641
373,37,26,28911791
374,37,8,11203350
375,37,9,14953901
376,37,12,8146211
377,37,10,8405654
378,37,11,20178863
379,37,30,7419490
380,37,31,9108939
381,37,13,13682003
382,37,14,11477178
383,37,15,9081224
384,37,16,26213927
385,37,17,8598378
386,37,18,9693223
387,37,27,9869727
388,37,19,13461509
389,37,20,14951359
390,37,28,21847741
391,37,21,26029905
392,37,22,8190520
393,37,23,14254326
394,37,24,19277535
395,37,32,6468021
396,37,33,5586503
397,38,29,9455515
398,38,1,21021421
399,38,25,17432051
400,38,2,16559026
401,38,3,32270875
402,38,4,16403989
403,38,5,20520809
404,38,6,14877999
405,38,7,9639203
406,38,26,31964165
407,38,8,11553337
408,38,9,16818961
409,38,12,7511347
410,38,10,8957509
411,38,11,20095677
412,38,30,7319487
413,38,31,9412082
414,38,13,14008430
415,38,14,12747584
416,38,15,9488025
417,38,16,29589308
418,38,17,8669515
419,38,18,9984804
420,38,27,10603129
421,38,19,14295764
422,38,20,15956983
423,38,28,23464178
424,38,21,27702140
425,38,22,8667295
426,38,23,15071622
427,38,24,20251506
428,38,32,6608361
429,38,33,5677781
430,39,29,9912411
431,39,1,22112974
432,39,25,19418997
433,39,2,17104546
434,39,3,34258181
435,39,4,17105509
436,39,5,22083734
437,39,6,15738292
438,39,7,10132201
439,39,26,36877466
440,39,8,11935202
441,39,9,17710537
442,39,12,7062349
443,39,10,9412988
444,39,11,20241029
445,39,30,7556202
446,39,31,9464246
447,39,13,14530595
448,39,14,13493547
449,39,15,9862749
450,39,16,33981128
451,39,17,9097870
452,39,18,10352471
453,39,27,11584128
454,39,19,14725788
455,39,20,16829248
456,39,28,24985543
457,39,21,29190314
458,39,22,8976959
459,39,23,15788947
460,39,24,21424516
461,39,32,6897674
462,39,33,5889111
463,40,29,10394169
464,40,1,23443453
465,40,25,20059733
466,40,2,17654317
467,40,3,36023838
468,40,4,17969999
469,40,5,23213351
470,40,6,16871662
471,40,7,10620553
472,40,26,38418352
473,40,8,12686194
474,40,9,16547877
475,40,12,7718663
476,40,10,10107441
477,40,11,20454302
478,40,30,7878262
479,40,31,9825676
480,40,13,15467923
481,40,14,12102423
482,40,15,10186731
483,40,16,36588669
484,40,17,9765246
485,40,18,10405660
486,40,27,11445298
487,40,19,15574662
488,40,20,17929495
489,40,28,26238950
490,40,21,30891995
491,40,22,9361477
492,40,23,16869492
493,40,24,22893005
494,40,32,7094452
495,40,33,6221545
496,41,29,9576252
497,41,1,22293152
498,41,25,17410097
499,41,2,16602751
500,41,3,33588330
501,41,4,15932667
502,41,5,20968648
503,41,6,16304037
504,41,7,10000463
505,41,26,30777931
506,41,8,12011433
507,41,9,13694664
508,41,12,7906328
509,41,10,9684130
510,41,11,19391176
511,41,30,7147366
512,41,31,9224626
513,41,13,14594312
514,41,14,8995527
515,41,15,9698481
516,41,16,28977281
517,41,17,9416394
518,41,18,9730914
519,41,27,9122363
520,41,19,14893332
521,41,20,17050828
522,41,28,21711075
523,41,21,27040049
524,41,22,8883531
525,41,23,15753709
526,41,24,21796036
527,41,32,6786037
528,41,33,5944621
529,42,29,10748424
530,42,1,26439300
531,42,25,21865798
532,42,2,19321755
533,42,3,38537446
534,42,4,19079008
535,42,5,24541935
536,42,6,19231443
537,42,7,11279930
538,42,26,39394012
539,42,8,13928059
540,42,9,17577737
541,42,12,8832985
542,42,10,11179053
543,42,11,22757974
544,42,30,8262308
545,42,31,10284436
546,42,13,17231708
547,42,14,14603624
548,42,15,11257708
549,42,16,38177948
550,42,17,10876227
551,42,18,11241685
552,42,27,11457338
553,42,19,17657812
554,42,20,20170401
555,42,28,27529845
556,42,21,32324270
557,42,22,10178746
558,42,23,18461440
559,42,24,25193771
560,42,32,7584603
561,42,33,6755405
562,43,29,12759657
563,43,1,31308158
564,43,25,27787180
565,43,2,22978644
566,43,3,45375877
567,43,4,23080425
568,43,5,30238991
569,43,6,23162103
570,43,7,12947856
571,43,26,51439231
572,43,8,16712345
573,43,9,27812760
574,43,12,10267971
575,43,10,13277977
576,43,11,27572999
577,43,30,9034216
578,43,31,11876964
579,43,13,20620334
580,43,14,21887834
581,43,15,13369596
582,43,16,52468105
583,43,17,12892481
584,43,18,13732708
585,43,27,14894279
586,43,19,21331602
587,43,20,24518535
588,43,28,34140396
589,43,21,39514892
590,43,22,11740012
591,43,23,22253353
592,43,24,30233726
593,43,32,8377799
594,43,33,7909384
